winery,wine,year,rating,num_review,region,price,type,grapes,region_map,region_map2
Tianna Negre,Ses Nines Negre 2019,2019,3.7,196,España / Islas Baleares / Mallorca / Binissalem-Mallorca,10.90,Vino tinto,"Cabernet Sauvignon, Merlot, Callet, Manto Negro, Shiraz/Syrah",Islas Baleares,Islas Baleares
Beronia,Rioja Graciano 2017,2017,3.6,41,España / Rioja,12.50,Vino tinto,100 % de Graciano,Rioja,Rioja
Vivanco,Rioja Blanco 2020,2020,3.7,144,España / Rioja,6.40,Vino blanco,"50 % de Viura, 35 % de Tempranillo Blanco, 15 % de Maturana Blanca",Rioja,Rioja
Entre Vinyes,Oníric Pet-Nat 2021,2021,3.7,176,España / Cataluña / Penedès,8.95,Vino espumoso,"Moscatel, Xarel-lo",Cataluña,Cataluña
Bodegas Vallobera,Finca Vallobera Rioja 2016,2016,3.9,47,España / Rioja,14.46,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Mas Foraster,Josep Foraster Selecció Blanc 2021,2021,4.0,39,España / Cataluña / Conca de Barberà,11.95,Vino blanco,"Chardonnay, Grenache Blanc, Macabeo",Cataluña,Cataluña
Victoria Ordoñez,La Ola del Melillero Blanco 2018,2018,3.7,91,España / Castilla y León / Rueda,12.95,Vino blanco,"85 % de Pedro Ximenez, 15 % de Moscatel",Castilla y León,Castilla y León
Creencia,Con Virtud Monastrell 2017,2017,4.1,69,España / Murcia / Jumilla,29.90,Vino tinto,100 % de Monastrell,Murcia,Murcia
Juan Gil,Jumilla Yellow Label 2019,2019,3.8,1882,España / Murcia / Jumilla,5.95,Vino tinto,100 % de Monastrell,Murcia,Murcia
Bodegas Corral - Don Jacobo,Vendimia Seleccionada 2018,2018,3.8,68,España / Rioja,8.75,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Finca Villacreces,Ribera del Duero 2016,2016,4.0,1101,España / Castilla y León / Ribera del Duero,24.95,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Olivier Rivière,La Bastid Rioja Blanco 2020,2020,4.0,66,España / Rioja,20.95,Vino blanco,100 % de Macabeo,Rioja,Rioja
Martin Berdugo,Barrica 2019,2019,3.8,169,España / Castilla y León / Ribera del Duero,7.19,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Josep Grau Viticultor,Vespres 2019,2019,3.8,101,España / Cataluña / Tarragona / Montsant,14.80,Vino tinto,"Grenache, Samsó",Cataluña,Cataluña
Izadi,Rioja Selección 2014,2014,3.9,706,España / Rioja,26.50,Vino tinto,"80 % de Tempranillo, 20 % de Graciano",Rioja,Rioja
Tinto Pesquera,Millenium Reserva 2002,2002,4.5,249,España / Castilla y León / Ribera del Duero,140,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Santiago Ruiz,Albariño (O Rosal) 2021,2021,4.1,218,España / Galicia / Rías Baixas,13.45,Vino blanco,100 % de Albariño,Galicia,Galicia
Valdesil,Montenovo Godello 2019,2019,3.8,239,España / Galicia / Valdeorras,10.50,Vino blanco,100 % de Godello,Galicia,Galicia
Portia,Crianza 2018,2018,3.8,119,España / Castilla y León / Ribera del Duero,10.78,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Marqués de Cáceres,Rioja Crianza 2019,2019,3.8,1336,España / Rioja,7.35,Vino tinto,100 % de Tempranillo,Rioja,Rioja
José Pariente,Verdejo 2012,2012,3.8,713,España / Castilla y León / Rueda,9.50,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Luis Oliván,Garnacha 2018,2018,4.0,45,España / Aragón / Campo de Borja,13.95,Vino tinto,100 % de Garnacha,Aragón,Aragón
Cuatro Gatos,Cinco Gatos Garnacha 2015,2015,3.7,52,España / Castilla / La Mancha,14.90,Vino tinto,100 % de Garnacha,Castilla,Castilla
Cantalapiedra Viticultores,Mondo 2019,2019,3.8,73,España / Castilla y León,16.50,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Castell d'Encus,Ekam Essència 2018,2018,4.2,153,España / Cataluña / Costers del Segre,43.90,Vino blanco,100 % de Riesling,Cataluña,Cataluña
Palacios Remondo,Rioja La Vendimia 2018,2018,3.8,1737,España / Rioja,7.70,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Irache,Rosado 2010,2010,3.0,35,España / Navarra,3.90,Vino rosado,"Tempranillo, Garnacha",Navarra,Navarra
Pinord,Diorama Syrah 2019,2019,3.6,25,España / Cataluña / Tarragona / Montsant,8.51,Vino tinto,100 % de Shiraz/Syrah,Cataluña,Cataluña
Cellers Grifoll Declara,Gran Predicat Blanc 2018,2018,4.3,34,España / Cataluña / Priorato,26.05,Vino blanco,Garnacha Blanca,Cataluña,Cataluña
Cercavins,Lo Virol Tinto 2018,2018,3.1,55,España / Cataluña / Costers del Segre,5.50,Vino tinto,"Shiraz/Syrah, Merlot, Tempranillo",Cataluña,Cataluña
Viña Costeira,Meu Treixadura Blanco 2020,2020,3.9,36,España / Galicia / Ribeiro,12.95,Otro,Treixadura,Galicia,Galicia
La Vizcaína,El Rapolao (Lomas de Valtuille) 2019,2019,4.1,206,España / Castilla y León / Bierzo,21.90,Vino tinto,100 % de Mencia,Castilla y León,Castilla y León
Balmoral,Edoné Gran Cuvée Extra Brut 2013,2013,3.4,59,España / Castilla,13.50,Vino espumoso,"Chardonnay, Pinot Noir",Castilla,Castilla
Allende,Aurus 2005,2005,4.6,95,España / Rioja,162.81,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Equipo Navazos,Casa del Inca Pedro Ximénez 2017,2017,3.8,74,España / Andalucía / Montilla-Moriles,24.80,Vino fortificado,100 % de Pedro Ximenez,Andalucía,Andalucía
Cepa 21,Ribera del Duero Tinto 2018,2018,4.2,463,España / Castilla y León / Ribera del Duero,16.96,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Pago Calzadilla,Gran Calzadilla 2007,2007,4.2,90,España / Castilla / Pago Calzadilla,34.75,Otro,"75 % de Tempranillo, 25 % de Cabernet Sauvignon",Castilla,Castilla
Mas Doix,Les Crestes 2012,2012,3.8,726,España / Cataluña / Priorato,17.25,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Bodegas Valdemar,Inspiración Graciano 2005,2005,4.0,96,España / Rioja,30.90,Vino tinto,100 % de Graciano,Rioja,Rioja
Viña Pomal,Reserva 1970,1970,4.4,29,España / Rioja,7.95,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Caserío de Dueñas,Verdejo 2018,2018,3.9,31,España / Castilla y León / Rueda,16.45,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Baron de Ley,Finca Monasterio Rioja 2017,2017,4.1,4035,España / Rioja,20.62,Vino tinto,100 % de Tempranillo,Rioja,Rioja
L'Olivera,Eixaders 2018,2018,4.0,48,España / Cataluña / Costers del Segre,15.95,Vino blanco,100 % de Chardonnay,Cataluña,Cataluña
Barco del Corneta,Cucú Verdejo 2019,2019,3.8,225,España / Castilla y León,9.35,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Juvé & Camps,Pagos de Anguix Diez Meses en Barrica 2017,2017,4.1,559,España / Castilla y León / Ribera del Duero,21.95,Vino tinto,100 % de Tinto Fino,Castilla y León,Castilla y León
Muga,Crianza 2016,2016,4.0,1743,España / Rioja,16.90,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Celler Credo,Miranius 2021,2021,3.9,66,España / Cataluña / Penedès,9.35,Vino blanco,100 % de Xarel-lo,Cataluña,Cataluña
Bodega Contador (Benjamín Romeo),La Cueva del Contador Rioja 2018,2018,4.4,107,España / Rioja,67.90,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Analec,La Romiguera 2017,2017,4.0,27,España / Cataluña / Costers del Segre,11,Otro,"Shiraz/Syrah, Cabernet Sauvignon, Tempranillo",Cataluña,Cataluña
Giró Ribot,Aikarai Muscat 2016,2016,3.6,54,España / Cataluña / Penedès,7.32,Vino blanco,Muscat Blanc,Cataluña,Cataluña
Alvear,PX Dulce Viejo 1927,1927,4.1,34,España / Andalucía / Montilla-Moriles,17.90,Vino fortificado,100 % de Pedro Ximenez,Andalucía,Andalucía
Bodegas Mauro,Godello Blanco 2015,2015,4.3,137,España / Castilla y León / Bierzo,92.45,Vino blanco,100 % de Godello,Castilla y León,Castilla y León
Llopart,'La Vida Secreta de les Plantes' Carmi Rosat 2020,2020,4.0,36,España / Cataluña / Penedès,9.50,Vino rosado,"Grenache, Sumoll",Cataluña,Cataluña
Hiruzta,Hondarrabi Zuri 2021,2021,3.9,194,España / País Vasco / Getariako Txakolina,12.95,Vino blanco,Hondarrabi Zuri,País Vasco,País Vasco
Campo Viejo,Reserva 2015,2015,3.8,7394,España / Rioja,9.40,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Remírez de Ganuza,Trasnocho 2011,2011,4.5,309,España / Rioja,110.50,Vino tinto,"Tempranillo, Graciano",Rioja,Rioja
Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca 2018,2018,4.3,1551,España / Castilla y León / Ribera del Duero,26.90,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Bodega Sommos,Varietales Blanco 2020,2020,3.9,129,España / Aragón / Somontano,8.15,Vino blanco,"40 % de Chardonnay, 40 % de Gewürztraminer, 20 % de Pinot Noir",Aragón,Aragón
Bodegas Mas Alta,La Basseta 2016,2016,4.4,121,España / Cataluña / Priorato,68.45,Vino tinto,100 % de Cariñena,Cataluña,Cataluña
Comenge,Don Miguel 2010,2010,4.2,82,España / Castilla y León / Ribera del Duero,36.50,Vino tinto,"Cabernet Sauvignon, Tempranillo",Castilla y León,Castilla y León
Freixenet,Cava Cuvée De Prestige Trepat 2018,2018,4.1,31,España / Cava,11.80,Vino espumoso,100 % de Trepat,Cava,Cava
Astrales,Ribera del Duero 2017,2017,4.2,441,España / Castilla y León / Ribera del Duero,21.90,Vino tinto,100 % de Tinto Fino,Castilla y León,Castilla y León
Pago de Vallegarcía,Petit Hipperia 2017,2017,4.0,249,España / Castilla,15.90,Vino tinto,"43 % de Shiraz/Syrah, 20 % de Merlot, 18 % de Cabernet Sauvignon, 14 % de Petit Verdot, 5 % de Cabernet Franc",Castilla,Castilla
Torelló,Blanc Tranquille 2020,2020,3.4,48,España / Cataluña / Penedès,6.84,Otro,"Macabeo, Xarel-lo, Parellada",Cataluña,Cataluña
Castillo de Monjardin,Navarra Reserva 2017,2017,2.9,28,España / Navarra,15.58,Otro,100 % de Chardonnay,Navarra,Navarra
Sentencia,Tinto 2015,2015,4.3,49,España / Valencia,30.95,Vino tinto,"Shiraz/Syrah, Bobal, Garnacha",Valencia,Valencia
Bodegas Virgen de Galir,Pagos del Galir Mencia 2019,2019,3.8,39,España / Galicia / Valdeorras,9.85,Vino tinto,100 % de Mencia,Galicia,Galicia
Bodegas Monte La Reina,Castillo de Monte la Reina Crianza 2016,2016,4.0,219,España / Castilla y León / Toro,9.95,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Bodegas Valduero,Finca Azaya 2016,2016,3.7,192,España / Castilla y León,19.95,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Pradorey,Lia 2019,2019,3.7,126,España / Castilla y León / Ribera del Duero,8.15,Vino rosado,100 % de Tempranillo,Castilla y León,Castilla y León
Bodegas La Soterraña,Etcétera Seco Blanco 2020,2020,3.5,116,España / Castilla y León / Rueda,7.90,Vino blanco,"Viura, Verdejo",Castilla y León,Castilla y León
Campo Viejo,Crianza Vendimia Seleccionada 2017,2017,3.7,282,España / Rioja,6.20,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Tinto Pesquera,Gran Reserva 2015,2015,4.4,37,España / Castilla y León / Ribera del Duero,74.50,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Aalto,PS (Pagos Seleccionados) Ribera del Duero 2015,2015,4.5,2909,España / Castilla y León / Ribera del Duero,194.65,Otro,100 % de Tempranillo,Castilla y León,Castilla y León
Finca Collado,Delit Plaer de Monastrell 2017,2017,4.0,210,España / Valencia,21.80,Vino tinto,100 % de Monastrell,Valencia,Valencia
Raventós i Blanc,De La Finca 2016,2016,4.0,416,España / Cataluña / Penedès,20.75,Vino espumoso,"60 % de Xarel-lo, 30 % de Macabeo, 10 % de Parellada",Cataluña,Cataluña
Les Cousins Marc & Adrià,L'Inconscient 2020,2020,3.8,195,España / Cataluña / Priorato,9.99,Vino tinto,100 % de Cariñena,Cataluña,Cataluña
Primitivo Collantes,Socaire Palomino 2018,2018,4.0,136,España / Andalucía / Cádiz,18.25,Vino blanco,Palomino,Andalucía,Andalucía
Attis,Attis Pedral 2016,2016,3.9,26,España / Galicia / Rías Baixas,29.10,Vino tinto,100 % de Pedral,Galicia,Galicia
Juan Gil,Pedrera Monastrell - Shiraz Jumilla 2017,2017,3.5,48,España / Murcia / Jumilla,4.14,Vino tinto,"Shiraz/Syrah, Monastrell",Murcia,Murcia
Diez Siglos,Verdejo 2021,2021,3.6,26,España / Castilla y León / Rueda,7,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Maisulan,12 Tempranillo - Graciano 2012,2012,3.2,42,España / Rioja / Rioja Alavesa,9,Vino tinto,"Tempranillo, Graciano",Rioja,Rioja
Tianna Negre,Tinto 2018,2018,4.1,78,España / Islas Baleares / Mallorca / Binissalem-Mallorca,35.05,Vino tinto,100 % de Manto Negro,Islas Baleares,Islas Baleares
Herrero Bodega,Erre de Herrero Verdejo 2020,2020,4.1,45,España / Castilla y León / Rueda,6.90,Vino blanco,100 % de Verdejo,Castilla y León,Castilla y León
Finca Antigua,Crianza Unico 2014,2014,3.7,161,España / Castilla / La Mancha,7.70,Vino tinto,100 % de Tempranillo,Castilla,Castilla
Cérvoles,Colors Tinto 2018,2018,3.8,285,España / Cataluña / Costers del Segre,20.95,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
La Val,Albariño Sobre Lías 2015,2015,4.2,59,España / Galicia / Rías Baixas,23.90,Vino blanco,100 % de Albariño,Galicia,Galicia
Can Ràfols dels Caus,Terraprima Blanc 2020,2020,3.6,45,España / Cataluña / Penedès,9.70,Vino blanco,"Riesling, Xarel-lo",Cataluña,Cataluña
Bodegas San Román,Prima Tinto 2016,2016,3.8,1949,España / Castilla y León / Toro,10.70,Vino tinto,"85 % de Tinta de toro, 15 % de Grenache",Castilla y León,Castilla y León
Montecillo,Reserva 2014,2014,3.7,217,España / Rioja,10.36,Vino tinto,"92 % de Tempranillo, 8 % de Mazuelo",Rioja,Rioja
Valtea,Finca Garabato Cepas Vellas Albariño 2017,2017,4.1,45,España / Galicia / Rías Baixas,19.20,Vino blanco,100 % de Albariño,Galicia,Galicia
Zárate,Albariño 2020,2020,4.0,1020,España / Galicia / Rías Baixas,12.90,Vino blanco,100 % de Albariño,Galicia,Galicia
Viña Sastre,Pesus Ribera del Duero 2014,2014,4.5,195,España / Castilla y León / Ribera del Duero,320,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Carlos Moro,Oinoz Tempranillo Crianza 2016,2016,3.9,615,España / Rioja,11.95,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Castro Brey,Castro Valdés Albariño 2019,2019,3.7,62,España / Galicia / Rías Baixas,12,Vino blanco,100 % de Albariño,Galicia,Galicia
Dehesa de Los Canónigos,Solideo 2017,2017,4.4,190,España / Castilla y León / Ribera del Duero,44.95,Otro,"Cabernet Sauvignon, Tinto Fino, Albillo",Castilla y León,Castilla y León
Telmo Rodriguez,Valdeorras Mencia Gaba do Xil 2015,2015,3.5,300,España / Galicia / Valdeorras,9.61,Vino tinto,100 % de Mencia,Galicia,Galicia
Tomàs Cusiné,Vilosell 2017,2017,3.8,321,España / Cataluña / Costers del Segre,11.20,Vino tinto,100 % de Tempranillo,Cataluña,Cataluña
Real de Asúa,Tinto 2011,2011,4.2,62,España / Rioja,74.41,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Pinord,Taanug Crianza Cabernet Sauvignon - Merlot 2015,2015,3.5,30,España / Cataluña / Penedès,7.49,Vino tinto,"Cabernet Sauvignon, Merlot",Cataluña,Cataluña
Pittacum,Aurea 2011,2011,4.2,320,España / Castilla y León / Bierzo,21.99,Vino tinto,100 % de Mencia,Castilla y León,Castilla y León
Sonsierra,Fermentado en Barrica 2019,2019,3.9,28,España / Rioja / Rioja Alta,7.50,Vino blanco,100 % de Viura,Rioja,Rioja
Familia Torres,Reserva Real 2013,2013,3.9,98,España / Cataluña / Penedès,240,Vino tinto,"Merlot, Cabernet Sauvignon, Cabernet Franc",Cataluña,Cataluña
Bodega de Bardos,Romántica Crianza 2019,2019,4.0,340,España / Castilla y León / Ribera del Duero,8.45,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Artadi,Viñas de Gain 2019,2019,4.1,203,España / Vino de España,19.89,Otro,100 % de Tempranillo,Vino de España,Vino de España
Baltasar Gracián,El Discreto Viura - Garnacha 2020,2020,3.7,36,España / Aragón / Calatayud,5.30,Vino blanco,"Viura, Garnacha",Aragón,Aragón
Oxer Wines,Suzzane Rioja 2018,2018,4.2,232,España / Rioja,35.01,Vino tinto,100 % de Garnacha,Rioja,Rioja
Franck Massard,Bellesa Perfecta 2017,2017,3.9,123,España / Cataluña / Priorato,17.50,Vino tinto,"60 % de Garnacha, 40 % de Cariñena",Cataluña,Cataluña
Cune (CVNE),Reserva 2017,2017,3.8,772,España / Rioja,10.90,Vino tinto,"Tempranillo, Mazuelo",Rioja,Rioja
Fariña,Gran Colegiata Toro Crianza 2014,2014,4.0,110,España / Castilla y León / Toro,9.95,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Muga,Torre Muga 2015,2015,4.4,637,España / Rioja,65,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Latido de Sara,Garnacha Blanca 2020,2020,3.8,224,España / Navarra,5.49,Vino blanco,Garnacha Blanca,Navarra,Navarra
Sierra Cantabria,Crianza 2015,2015,3.7,1800,España / Rioja,9.49,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Celler del Roure,Les Alcusses 2015,2015,3.7,664,España / Valencia,9.90,Vino tinto,100 % de Monastrell,Valencia,Valencia
Viña Salceda,Rioja Reserva Conde De La Salceda 2017,2017,4.3,49,España / Rioja,21.90,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Itsasmendi,7 2019,2019,3.9,147,España / País Vasco,22.10,Vino blanco,"Riesling, Hondarrabi Zuri",País Vasco,País Vasco
Marqués de Murrieta,Reserva Rioja (Finca Ygay) 2007,2007,4.0,4851,España / Rioja,21.80,Vino tinto,"Garnacha, Tempranillo, Mazuelo",Rioja,Rioja
Sumarroca,Muscat 2020,2020,3.8,43,España / Cataluña / Penedès,8.78,Vino blanco,100 % de Moscatel,Cataluña,Cataluña
Marco Abella,Loidana 2020,2020,3.9,37,España / Cataluña / Priorato,13.95,Vino tinto,"Cabernet Sauvignon, Carignan, Garnacha Tinta",Cataluña,Cataluña
Finca de la Rica,El Nómada 2018,2018,3.9,61,España / Rioja,14.25,Otro,100 % de Tempranillo,Rioja,Rioja
Conde de San Cristobal,Flamingo Rosé 2020,2020,3.5,25,España / Castilla y León / Ribera del Duero,21.90,Vino rosado,100 % de Tinto Fino,Castilla y León,Castilla y León
Eguren Ugarte,Crianza 2013,2013,3.5,131,España / Rioja,7.30,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Can Sumoi,Xarel-Lo 2019,2019,3.9,427,España / Cataluña / Penedès,12.20,Vino blanco,100 % de Xarel-lo,Cataluña,Cataluña
Clos Mogador,Priorat 2009,2009,4.3,735,España / Cataluña / Priorato,73.90,Vino tinto,"Shiraz/Syrah, Carignan, Grenache",Cataluña,Cataluña
Castaño,Dominio Espinal Tinto 2020,2020,3.3,26,España / Murcia / Yecla,4.95,Vino tinto,100 % de Monastrell,Murcia,Murcia
Bodega Numanthia,Numanthia 2004,2004,4.4,421,España / Castilla y León / Toro,94.90,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Obalo,Joven Rioja 2018,2018,3.7,148,España / Rioja,12.30,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Viña Ijalba,Reserva 2015,2015,3.9,268,España / Rioja,15.50,Vino tinto,"80 % de Tempranillo, 20 % de Graciano",Rioja,Rioja
Aroa,Le Naturel Red 2021,2021,3.6,63,España / Navarra,7.31,Otro,100 % de Garnacha,Navarra,Navarra
Tridente,Entresuelos Tempranillo 2017,2017,3.8,558,España / Castilla y León,7.10,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Venus la Universal,Dido La Solució Rosa 2019,2019,4.1,339,España / Cataluña / Tarragona / Montsant,19.30,Vino rosado,"Cariñena, Garnacha, Garnacha Blanca, Macabeo",Cataluña,Cataluña
Rodrigo Mendez,Cies 2020,2020,3.9,240,España / Galicia / Rías Baixas,15.90,Vino blanco,100 % de Albariño,Galicia,Galicia
Cims de Porrera,Garnatxa 2015,2015,4.1,35,España / Cataluña / Priorato,54.95,Vino tinto,100 % de Garnacha,Cataluña,Cataluña
Colet,Navazos Reserva Extra Brut 2011,2011,4.2,65,España / Cataluña / Penedès,29.75,Vino espumoso,100 % de Chardonnay,Cataluña,Cataluña
Agusti Torello Mata,Cava Reserva Brut 2017,2017,3.8,353,España / Cava,11.95,Vino espumoso,100 % de Macabeo,Cava,Cava
Tagonius,Tinto Roble 2016,2016,3.6,149,España / Madrid,6.18,Vino tinto,"45 % de Tempranillo, 30 % de Merlot, 15 % de Cabernet Sauvignon, 10 % de Shiraz/Syrah",Madrid,Madrid
Veigamoura,Blanco 2018,2018,4.2,27,España / Galicia / Rías Baixas,21.50,Vino blanco,100 % de Albariño,Galicia,Galicia
Yllera,12 Meses en Barrica Tempranillo 2018,2018,3.8,241,España / Castilla y León / Ribera del Duero,5.99,Otro,100 % de Tempranillo,Castilla y León,Castilla y León
José Pariente,Sauvignon Blanc 2021,2021,4.2,465,España / Castilla y León / Rueda,9.06,Vino blanco,100 % de Sauvignon Blanc,Castilla y León,Castilla y León
Bodegas Javier San Pedro Ortega,Anahí 2021,2021,3.8,44,España / Rioja,6.70,Vino blanco,"Sauvignon Blanc, Malvasia, Tempranillo Blanco",Rioja,Rioja
Oller del Mas,Bernat Oller 2018,2018,4.0,147,España / Cataluña / Pla de Bages,14.20,Vino tinto,100 % de Merlot,Cataluña,Cataluña
Buil & Giné,Giné Giné 2013,2013,3.9,526,España / Cataluña / Priorato,16.94,Vino tinto,Carignan,Cataluña,Cataluña
Els Vinyerons,Saltamarti 2019,2019,3.6,350,España / Cataluña / Penedès,8.55,Vino tinto,100 % de Tempranillo,Cataluña,Cataluña
Familia Torres,22 Pies Rioja Crianza 2017,2017,3.8,56,España / Rioja,7.45,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Valderiz,Valdehermoso Crianza 2019,2019,3.8,30,España / Castilla y León / Ribera del Duero,12.90,Vino tinto,100 % de Tinta del Pais,Castilla y León,Castilla y León
Mestres,Damiana Gran Reserva Brut Nature 2006,2006,4.3,29,España / Cava,50.66,Vino espumoso,"Parellada, Macabeo, Xarel-lo",Cava,Cava
Contino,Viña del Olivo 2017,2017,4.5,241,España / Rioja,64.75,Vino tinto,"90 % de Tempranillo, 10 % de Graciano",Rioja,Rioja
Castillo de Monjardin,Rosado De Lágrima Vendimia Nocturna 2021,2021,3.8,51,España / Navarra,5.43,Vino de postre,100 % de Merlot,Navarra,Navarra
Finca Míllara,Lagariza 2018,2018,3.7,142,España / Galicia / Ribeira Sacra,9.83,Vino tinto,100 % de Mencia,Galicia,Galicia
Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albariño 2017,2017,4.3,228,España / Galicia / Rías Baixas,34.50,Vino blanco,100 % de Albariño,Galicia,Galicia
La Rioja Alta,Gran Reserva 890 2010,2010,4.5,551,España / Rioja,140.90,Vino tinto,"Tempranillo, Graciano",Rioja,Rioja
Hispano Suizas,Bobos Finca Casa la Borracha 2019,2019,4.2,314,España / Valencia / Utiel-Requena,23.09,Vino tinto,100 % de Bobal,Valencia,Valencia
La Poda,Albariño 2021,2021,3.8,45,España / Galicia / Rías Baixas,10.90,Vino blanco,100 % de Albariño,Galicia,Galicia
Astrales,Godello Valdeorras 2011,2011,3.9,115,España / Galicia / Valdeorras,19.80,Vino blanco,100 % de Godello,Galicia,Galicia
Bodegas Lezcano-Lacalle,Maudes 2018,2018,4.0,83,España / Castilla y León / Cigales,22.99,Vino tinto,100 % de Merlot,Castilla y León,Castilla y León
Marques de Burgos,Crianza Vendimia Seleccionada 2017,2017,3.7,41,España / Castilla y León / Ribera del Duero,11.89,Vino tinto,100 % de Tempranillo,Castilla y León,Castilla y León
Callejo,Félix Callejo (Viñedos de la Familia) 2015,2015,4.2,383,España / Castilla y León / Ribera del Duero,73.90,Otro,Albillo,Castilla y León,Castilla y León
Culebrón,Fondillón Gran Reserva 1970,1970,4.2,124,España / Valencia / Alicante,49.25,Otro,100 % de Monastrell,Valencia,Valencia
Algueira,Risco (Merenzao) 2018,2018,3.8,31,España / Galicia / Ribeira Sacra,39.90,Vino tinto,Trousseau,Galicia,Galicia
Con un Par,Monastrell - Petit Verdot 2020,2020,3.5,75,España / Valencia,6.49,Vino tinto,"Monastrell, Petit Verdot",Valencia,Valencia
Laventura,Tempranillo 2018,2018,3.8,27,España / Rioja,18.50,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Coca i Fitó,Garnatxa 2013,2013,3.9,86,España / Cataluña / Tarragona / Montsant,31.90,Otro,100 % de Grenache,Cataluña,Cataluña
